Category,Product,Volume (mL),ABV (%),qty,Current Price ($),Regular Price ($),mL / $,mL / $ (sale)
Beer,Miller Genuine Draft 473ml,473,4.7,1,3.69,3.69,6.0246612466124665,6.0246612466124665
Beer,Wychwood Hobgoblin Ruby Ale 500ml,500,4.5,1,3.9,3.9,5.769230769230769,5.769230769230769
Beer,St Ambroise Pumpkin Ale 473ml,,,1,,,,
Beer,St Ambroise Raspberry Ale 473ml,,,1,,,,
Beer,Goose Island 312 Urban Wheat 473ml,,,1,,,,
Beer,Goose Island IPA 473ml,473,5.9,1,3.99,3.99,6.9942355889724315,6.9942355889724315
Beer,Breton Brewing Black Angus IPA 473ml,,,1,,,,
Beer,Innis & Gunn The Original 500ml,500,6.6,1,3.9,4.09,8.068459657701712,8.461538461538462
Beer,Kronenbourg 1664 Blanc 500ml,500,5.0,1,3.79,3.79,6.596306068601583,6.596306068601583
Beer,Kronenbourg 1664 Blanc Fruits Rouge 500ml,,,1,,,,
Beer,Stella Artois Lager 330ml,330,5.2,1,3.79,3.79,4.527704485488127,4.527704485488127
Beer,Hop City 8th Sin Black Lager 473ml,473,5.0,1,2.39,3.99,5.927318295739348,9.89539748953975
Beer,Guinness American Blonde Lager 473ml,473,5.0,1,3.58,3.58,6.606145251396648,6.606145251396648
Beer,Belgian Moon 473ml,473,5.4,1,3.9,3.9,6.549230769230769,6.549230769230769
Beer,Brasseux D'La Cote 1847 Eliza Liddell 473ml,473,5.0,1,4.5,4.5,5.255555555555556,5.255555555555556
Beer,Brasseux D'La Cote Saint Antoine De Padoue 473ml,473,5.0,1,4.25,4.25,5.564705882352942,5.564705882352942
Beer,Bud Light Radler 473ml,473,2.4,1,1.79,3.9,2.910769230769231,6.341899441340782
Beer,Category 12 Insubordinate Session IPA 473ml,,,1,,,,
Beer,Coors Banquet 473ml,473,5.0,1,3.9,3.9,6.064102564102565,6.064102564102565
Beer,Gahan 1772 India Pale Ale 500ml,500,6.5,1,4.19,4.19,7.756563245823388,7.756563245823388
Beer,Gahan Iron Bridge Brown Ale 500ml,,,1,,,,
Beer,Gahan Island Red Ale 500ml,500,5.3,1,4.19,4.19,6.324582338902148,6.324582338902148
Beer,Gahan Sir John A Honey Wheat Ale 500ml,500,4.5,1,4.19,4.19,5.369928400954653,5.369928400954653
Beer,Grimross Apres Lager 473ml,,,1,,,,
Beer,Grimross Cheval D'Or 473ml,,,1,,,,
Beer,Grimross Specialty 473ml,473,5.0,1,3.9,3.9,6.064102564102565,6.064102564102565
Beer,Hop City Polly Want A Pilsner 473ml,,,1,,,,
Beer,Innis & Gunn Session IPA 500ml,,,1,,,,
Beer,Keiths 473ml,473,5.0,1,3.9,3.9,6.064102564102565,6.064102564102565
Beer,Maybee Forage Rye IPA 473ml,473,7.0,1,4.25,4.25,7.790588235294119,7.790588235294119
Beer,Maybee Old Growth Extra Special Bitter 473ml,473,5.5,1,4.25,4.25,6.121176470588235,6.121176470588235
Beer,Maybee Roseway Red 473ml,473,6.0,1,4.25,4.25,6.6776470588235295,6.6776470588235295
Beer,Maybee Tailwind Session Ale 473ml,473,4.8,1,4.25,4.25,5.342117647058823,5.342117647058823
Beer,Maybee Work Horse IPA 473ml,473,7.0,1,4.25,4.25,7.790588235294119,7.790588235294119
Beer,Propeller Stone Fruit Summer Ale 473ml,,,1,,,,
Beer,Rickards Radler 473ml,473,3.2,1,3.9,3.9,3.881025641025641,3.881025641025641
Beer,Sleeman Railside Session Ale 473ml,,,1,,,,
Beer,Cavok Brewing Legere Corner Honey Ale 473ml,473,4.6,1,3.95,3.95,5.508354430379747,5.508354430379747
Beer,Flying Boats Coastal Good Life Session IPA 473ml,473,4.8,1,4.25,4.25,5.342117647058823,5.342117647058823
Beer,Flying Boats Empress Irish Red Ale 473ml,473,5.5,1,4.25,4.25,6.121176470588235,6.121176470588235
Beer,Flying Boats S-55 Mission Special Pale Ale 473ml,473,5.7,1,4.25,4.25,6.343764705882354,6.343764705882354
Beer,Flying Boats Seasonal 473ml,,,1,,,,
Beer,Petit-Sault Snap Dickie 473ml,473,4.6,1,3.95,3.95,5.508354430379747,5.508354430379747
Beer,Picaroons Feels Good Imperial Pilsner 500ml,500,7.0,1,4.5,4.5,7.777777777777778,7.777777777777778
Beer,Picaroons Historical Brown 500ml,,,1,,,,
Beer,Picaroons Mans Best Friend 500ml,500,5.0,1,4.25,4.25,5.882352941176471,5.882352941176471
Beer,Picaroons Timberhog Stout 500ml,,,1,,,,
Beer,Robinsons Brewery Iron Maiden Trooper 500ml,,,1,,,,
Beer,Upstreet Brewing Black Tie Affair 500ml,,,1,,,,
Beer,Upstreet Commons Czech Style Pilsner 500ml,,,1,,,,
Beer,Upstreet Gravedigger 500ml,,,1,,,,
Beer,Amsterdam Downtown Brown 473ml,,,1,,,,
Beer,Brasseur De Montreal Chi 473ml,,,1,,,,
Beer,Brasseur De Montreal Griffintown 473ml,,,1,,,,
Beer,Brewdog Punk IPA 500ml,,,1,,,,
Beer,Bud Light Apple 473ml,473,4.0,1,3.99,3.99,4.741854636591479,4.741854636591479
Beer,Central City Beer League Lager 500ml,,,1,,,,
Beer,Garrison Nit Wit Belgian Wheat 473ml,,,1,,,,
Beer,Guinness Hop House 13 500ml,500,5.0,1,3.99,3.99,6.265664160401002,6.265664160401002
Beer,Guinness Irish Wheat 500ml,,,1,,,,
Beer,Heineken Lager 500ml,500,5.0,1,3.99,3.99,6.265664160401002,6.265664160401002
Beer,Hop City Big Tiki 473ml,,,1,,,,
Beer,Hop City Commuter 473ml,,,1,,,,
Beer,Leinenkugels Lemon Shandy 473ml,,,1,,,,
Beer,Moosehead Small Batch Stone Fruit White IPA 473ml,,,1,,,,
Beer,Newcastle Brown Ale 500ml,500,4.7,1,1.88,3.99,5.889724310776942,12.5
Beer,Red Racer IPA 473ml,,,1,,,,
Beer,Rolling Rock 473ml,473,4.5,1,3.99,3.99,5.334586466165414,5.334586466165414
Beer,Schnitzer Brau Gluten Free 330ml,330,5.0,1,4.9,4.9,3.36734693877551,3.36734693877551
Beer,Spindrift Hurricane IPA 473ml,,,1,,,,
Beer,Spindrift Wheelhouse Radler 473ml,,,1,,,,
Beer,Steam Whistle Pilsner 473ml,473,5.0,1,3.99,3.99,5.927318295739348,5.927318295739348
Beer,TrailWay Beyond Reality Raspberry Wheat Ale 473ml,473,4.0,1,3.99,3.99,4.741854636591479,4.741854636591479
Beer,Nine Locks Dirty Blonde 473ml,473,5.0,1,4.29,4.29,5.512820512820514,5.512820512820514
Beer,Upstreet White Noize White IPA 500ml,,,1,,,,
Beer,Trailer Park Boys Green Bastard IPA 473ml,,,1,,,,
Beer,Four Rivers Rockbolter Black IPA 473ml,473,6.5,1,4.25,4.25,7.234117647058824,7.234117647058824
Beer,Lake of Bays Switchback Pilsner 473ml,,,1,,,,
Beer,Paulaner Hefe Weissbier 500ml,500,5.5,1,4.49,4.49,6.124721603563474,6.124721603563474
Beer,Brasseux D'La Cote Moscou Miscou 473ml,473,9.0,1,4.5,4.5,9.46,9.46
