"product_categories_name","product_categories_listingValue","product_categories_product_name","product_categories_product_url","product_categories_remove"
"Beer","","Belhaven Black Scottish Stout 440ml","https://www.anbl.com/beer/belhaven-black-scottish-stout-440ml-23449","1"
"Beer","","Bud Light 473ml","https://www.anbl.com/beer/bud-light-473ml-17239","1"
"Beer","","Budweiser 473ml","https://www.anbl.com/beer/budweiser-473ml-17238","1"
"Beer","","Faxe 7.1% 500ml","https://www.anbl.com/beer/faxe-7-1-500ml-28106","1"
"Beer","","Harp Lager 500ml","https://www.anbl.com/beer/harp-lager-500ml-21116","1"
"Beer","","Landshark Premium Lager 473ml","https://www.anbl.com/beer/landshark-premium-lager-473ml-28137","1"
"Beer","","Miller Lite 473ml","https://www.anbl.com/beer/miller-lite-473ml-24581","1"
"Beer","","Moosehead Cracked Canoe 473ml","https://www.anbl.com/beer/moosehead-cracked-canoe-473ml-28175","1"
"Beer","","Moosehead Pale Ale 473ml","https://www.anbl.com/beer/moosehead-pale-ale-473ml-28180","1"
"Beer","","Peroni 330ml","https://www.anbl.com/beer/peroni-330ml-19042","1"
"Beer","","St Ambroise IPA 473ml","https://www.anbl.com/beer/st-ambroise-ipa-473ml-23545","1"
"Beer","","Tuborg 500ml","https://www.anbl.com/beer/tuborg-500ml-11878","1"
"Beer","","Waterloo Grapefruit Radler 473ml","https://www.anbl.com/beer/waterloo-grapefruit-radler-473ml-25524","1"
"Beer","","Big Axe Seasonal 375ml","https://www.anbl.com/beer/big-axe-seasonal-375ml-31574","1"
"Beer","","Big Axe Shakespeare Oatmeal Stout 375ml","https://www.anbl.com/beer/big-axe-shakespeare-oatmeal-stout-375ml-31570","1"
"Beer","","Big Axe Wrath of Putin DIPA 375ml","https://www.anbl.com/beer/big-axe-wrath-of-putin-dipa-375ml-31571","1"
"Beer","","St Ambroise Double IPA 473ml","https://www.anbl.com/beer/st-ambroise-double-ipa-473ml-25662","1"
"Beer","","Grolsch Lager 500ml","https://www.anbl.com/beer/grolsch-lager-500ml-14678","1"
"Beer","","Stella Artois Lager 500ml","https://www.anbl.com/beer/stella-artois-lager-500ml-13349","1"
"Beer","","Bavaria 8.6 500ml","https://www.anbl.com/beer/bavaria-8-6-500ml-15624","1"
"Beer","","Czechvar 500ml B","https://www.anbl.com/beer/czechvar-500ml-b-16928","1"
"Beer","","Faxe 10% 500ml","https://www.anbl.com/beer/faxe-10-500ml-10797","1"
"Beer","","Miller Genuine Draft 473ml","https://www.anbl.com/beer/miller-genuine-draft-473ml-21072","1"
"Beer","","Wychwood Hobgoblin Ruby Ale 500ml","https://www.anbl.com/beer/wychwood-hobgoblin-ruby-ale-500ml-29926","1"
"Beer","","St Ambroise Pumpkin Ale 473ml","https://www.anbl.com/beer/st-ambroise-pumpkin-ale-473ml-32378","1"
"Beer","","St Ambroise Raspberry Ale 473ml","https://www.anbl.com/beer/st-ambroise-raspberry-ale-473ml-31177","1"
"Beer","","Goose Island 312 Urban Wheat 473ml","https://www.anbl.com/beer/goose-island-312-urban-wheat-473ml-32248","1"
"Beer","","Goose Island IPA 473ml","https://www.anbl.com/beer/goose-island-ipa-473ml-25323","1"
"Beer","","Breton Brewing Black Angus IPA 473ml","https://www.anbl.com/beer/breton-brewing-black-angus-ipa-473ml-28107","1"
"Beer","","Innis & Gunn The Original 500ml","https://www.anbl.com/beer/innis-gunn-the-original-500ml-23021","1"
"Beer","","Kronenbourg 1664 Blanc 500ml","https://www.anbl.com/beer/kronenbourg-1664-blanc-500ml-25607","1"
"Beer","","Kronenbourg 1664 Blanc Fruits Rouge 500ml","https://www.anbl.com/beer/kronenbourg-1664-blanc-fruits-rouge-500ml-31167","1"
"Beer","","Stella Artois Lager 330ml","https://www.anbl.com/beer/stella-artois-lager-330ml-13143","1"
"Beer","","Hop City 8th Sin Black Lager 473ml","https://www.anbl.com/beer/hop-city-8th-sin-black-lager-473ml-27132","1"
"Beer","","Guinness American Blonde Lager 473ml","https://www.anbl.com/beer/guinness-american-blonde-lager-473ml-30268","1"
"Beer","","Belgian Moon 473ml","https://www.anbl.com/beer/belgian-moon-473ml-27084","1"
"Beer","","Brasseux D'La Cote 1847 Eliza Liddell 473ml","https://www.anbl.com/beer/brasseux-d-la-cote-1847-eliza-liddell-473ml-31392","1"
"Beer","","Brasseux D'La Cote Saint Antoine De Padoue 473ml","https://www.anbl.com/beer/brasseux-d-la-cote-saint-antoine-de-padoue-473ml-30476","1"
"Beer","","Bud Light Radler 473ml","https://www.anbl.com/beer/bud-light-radler-473ml-28188","1"
"Beer","","Category 12 Insubordinate Session IPA 473ml","https://www.anbl.com/beer/category-12-insubordinate-session-ipa-473ml-29161","1"
"Beer","","Coors Banquet 473ml","https://www.anbl.com/beer/coors-banquet-473ml-22722","1"
"Beer","","Gahan 1772 India Pale Ale 500ml","https://www.anbl.com/beer/gahan-1772-india-pale-ale-500ml-21825","1"
"Beer","","Gahan Iron Bridge Brown Ale 500ml","https://www.anbl.com/beer/gahan-iron-bridge-brown-ale-500ml-21906","1"
"Beer","","Gahan Island Red Ale 500ml","https://www.anbl.com/beer/gahan-island-red-ale-500ml-21383","1"
"Beer","","Gahan Sir John A Honey Wheat Ale 500ml","https://www.anbl.com/beer/gahan-sir-john-a-honey-wheat-ale-500ml-21384","1"
"Beer","","Grimross Apres Lager 473ml","https://www.anbl.com/beer/grimross-apres-lager-473ml-30896","1"
"Beer","","Grimross Cheval D'Or 473ml","https://www.anbl.com/beer/grimross-cheval-d-or-473ml-28344","1"
"Beer","","Grimross Specialty 473ml","https://www.anbl.com/beer/grimross-specialty-473ml-31396","1"
"Beer","","Hop City Polly Want A Pilsner 473ml","https://www.anbl.com/beer/hop-city-polly-want-a-pilsner-473ml-27219","1"
"Beer","","Innis & Gunn Session IPA 500ml","https://www.anbl.com/beer/innis-gunn-session-ipa-500ml-29273","1"
"Beer","","Keiths 473ml","https://www.anbl.com/beer/keiths-473ml-18048","1"
"Beer","","Maybee Forage Rye IPA 473ml","https://www.anbl.com/beer/maybee-forage-rye-ipa-473ml-27135","1"
"Beer","","Maybee Old Growth Extra Special Bitter 473ml","https://www.anbl.com/beer/maybee-old-growth-extra-special-bitter-473ml-29868","1"
"Beer","","Maybee Roseway Red 473ml","https://www.anbl.com/beer/maybee-roseway-red-473ml-25627","1"
"Beer","","Maybee Tailwind Session Ale 473ml","https://www.anbl.com/beer/maybee-tailwind-session-ale-473ml-28869","1"
"Beer","","Maybee Work Horse IPA 473ml","https://www.anbl.com/beer/maybee-work-horse-ipa-473ml-25589","1"
"Beer","","Propeller Stone Fruit Summer Ale 473ml","https://www.anbl.com/beer/propeller-stone-fruit-summer-ale-473ml-31193","1"
"Beer","","Rickards Radler 473ml","https://www.anbl.com/beer/rickards-radler-473ml-25457","1"
"Beer","","Sleeman Railside Session Ale 473ml","https://www.anbl.com/beer/sleeman-railside-session-ale-473ml-26601","1"
"Beer","","Cavok Brewing Legere Corner Honey Ale 473ml","https://www.anbl.com/beer/cavok-brewing-legere-corner-honey-ale-473ml-30361","1"
"Beer","","Flying Boats Coastal Good Life Session IPA 473ml","https://www.anbl.com/beer/flying-boats-coastal-good-life-session-ipa-473ml-32066","1"
"Beer","","Flying Boats Empress Irish Red Ale 473ml","https://www.anbl.com/beer/flying-boats-empress-irish-red-ale-473ml-31565","1"
"Beer","","Flying Boats S-55 Mission Special Pale Ale 473ml","https://www.anbl.com/beer/flying-boats-s-55-mission-special-pale-ale-473ml-31566","1"
